Asian Indian,"2,765,155"
Bangladeshi,"115,037"
Cambodian,"264,080"
"Chinese , except Taiwanese","3,291,388"
Filipino,"2,512,686"
Hmong,"245,807"
Indonesian,"77,104"
Japanese,"774,600"
Korean,"1,456,076"
Laotian,"210,571"
Malaysian,"20,438"
Pakistani,"356,939"
Sri Lankan,"40,285"
Taiwanese,"165,524"
Thai,"177,445"
Vietnamese,"1,625,365"
